indice,palabras,insultos
32559,acompanenla,0
990,acompano,0
29860,acomplejada,1
36455,acomplejadas,1
22342,acomplejado,1
40736,aconseja,0
34015,aconsejable,0
38057,aconsejados,0
13394,aconsejandole,0
15856,aconsejo,0
34176,acontecimientos,0
40668,acoocobjecion,0
25338,acopio,0
4613,acorazado_blind,0
39141,acordada,0
6573,acordado,0
40405,acordamos,0
44471,acordando,0
6016,acordar,0
10286,acordara,0
11701,acordaran,0
25576,acordarse,0
7982,acorde,0
37357,acordemonos,0
28177,acordo,0
3927,acordoba1981,0
37680,acorecolombia,0
35809,acorralada,0
37823,acorraladas,0
3120,acorralado,0
37562,acorralarlo,0
23788,acosador,1
2379,acosados,0
4983,acosao,0
12331,acoso,0
40721,acosta3ggerman,0
4655,acosta497,0
21510,acostada,0
43082,acostajaime,0
26615,acostamos,0
24480,acostarse,0
4671,acostazarat,0
30844,acostumbrada,0
21795,acostumbrado,0
26940,acostumbrados,0
9073,acostumbraron,0
37811,acostumbro,0
29957,acotacion,0
44736,acotar,0
44482,acreditado,0
20685,acres,0
24538,acribillaron,0
4675,acrlatam,0
40669,acruzar,0
27560,act,0
15221,acta,0
41258,actas,0
29430,actasaz,0
39161,action,0
13759,actitud,0
592,actitudes,0
28558,actitudla,0
22668,activa,0
2224,activacion,0
20749,activada,0
29995,activados,0
43392,activamente,0
1611,activar,0
15369,actividad,0
11035,actividades,0
45085,activimo,0
3829,activismo,0
2380,activista,0
14722,activistas,0
11461,activo,0
884,activos,0
750,acto,0
26120,actor,0
13928,actoral,0
24082,actores,0
4678,actorjoaquin,0
19051,actorsitos,0
3029,actos,0
12095,actriz,0
6586,actua,0
17556,actuacion,0
7776,actuaciones,0
10236,actuado,0
11387,actual,0
14275,actuales,0
11024,actualicese,0
1085,actualidad,0
26979,actualidadpanam,0
37762,actualidadpanamcancilleria,0
4680,actualidadrt,0
12530,actualizacion,0
3321,actualizada,0
22000,actualizame,0
22702,actualizar,0
23975,actualmente,0
26694,actuamos,0
5097,actuan,0
10189,actuando,0
7002,actuar,0
22074,actuara,0
12780,actuaran,0
5269,actuaron,0
18891,actuarpor,0
1194,actue,0
9279,actuemos,0
8144,actuen,0
10230,actuo,0
29436,acuaran,0
43873,acuatico,0
33686,acudaciones,0
44607,acudan,0
26929,acude,0
16659,acudiendo,0
12432,acudir,0
38903,acueducto,0
8087,acuerda,0
8802,acuerdan,0
13260,acuerdas,0
23175,acuerdense,0
6967,acuerdese,0
1118,acuerdo,0
15096,acuerdocabeza,0
6879,acuerdocedemocratico,0
19616,acuerdoel,0
21335,acuerdoes,0
45162,acuerdoficogutierrez,0
28207,acuerdolo,0
11323,acuerdoooooooooooosolo,0
3835,acuerdoque,0
4571,acuerdos,0
35909,acuerdosi,0
5713,acuerdoud,0
7107,acuesta,0
24040,acuestece,0
36977,acuestense,0
7856,acuesto,0
29437,acuicolaagua,0
30323,aculillado,0
15185,aculillaron,0
38092,aculillo,0
13628,acumula,0
44972,acumulacion,0
13607,acumuladas,0
33453,acumular,0
2478,acumule,0
43085,acuna_arrieta,0
40722,acuna_oscar,0
734,acunada,0
19505,acunosi,0
35929,acurrucado,0
8523,acusa,0
36659,acusacion,0
2527,acusaciones,0
21794,acusacionescualquiera,0
36294,acusada,0
16183,acusado,0
38704,acusador,0
404,acusados,0
8458,acusan,0
21174,acusando,0
9358,acusar,0
40879,acusatorio,0
24707,acuse,0
14439,ad,0
10731,ada,0
33064,adalberticoq,0
18938,adalid,0
45331,adalides,0
40723,adalila67459045,0
17778,adaltori,0
4701,adam,0
43086,adamslargo35,0
4689,adamsmithfree,0
29441,adanmolaya,0
28839,adcorrea,0
13224,adds,0
16156,adecuada,0
15161,adecuado,0
9581,adefecio,0
16437,adefeciosincreible,0
27130,adefender,0
3009,adefesio,0
17186,adefesiocoloquialpersona,0
33337,adefesios,0
10040,adefesioun,0
16070,adela,0
20780,adelanta,0
39572,adelantado,0
39789,adelantados,0
36982,adelantamos,0
39596,adelantaremos,0
24678,adelantaron,0
34175,adelantarse,0
39,adelante,0
15747,adelantes,0
43665,adelantesi,0
33631,adelanto,0
21716,adelate,0
43227,adelgaza,0
35945,adelgaze,0
29449,adelina_covo,0
26293,adelitasm,0
2986,ademas,0
37749,adentra,0
5400,adentro,0
24179,adentrolo,0
31423,adepto,0
9327,adeptos,0
4641,aderrotar,0
4950,adherido,0
13004,adherir,0
14005,adhesion,0
14411,adhiere,0
37355,adhieren,0
10952,adhiero,0
32046,adhiriendo,0
11026,adhirio,0
16870,adiccion,0
9751,adiciona,0
33395,adicional,0
36987,adicionalmente,0
38463,adicta,1
23432,adicto,1
31902,adictrino,0
31128,adida,0
45336,adiestradas,1
38591,adiestramiento,0
26420,adiestrando,1
18282,adiestrar,0
24879,adio,0
4168,adios,0
36992,adivien,0
13478,adivina,0
36911,adivinan,0
32985,adivinanza,0
29220,adivinanzacomo,0
29237,adivinar,0
16454,adivinen,0
39052,adivino,0
13382,adjetivo,0
30467,adjetivos,0
39401,adjudica,0
31972,adjudico,0
38808,adjunta,0
19927,adjunto,0
3930,adl,0
40265,adle,0
29451,adma06,0
43087,admdorjri,0
18334,admin,0
22680,administiado,0
20949,administra,0
4064,administracion,0
26995,administrada,0
15244,administrador,0
32529,administradores,0
16424,administrando,0
23652,administrar,0
11410,administrativa,0
9197,administrativo,0
9509,administrativos,0
35713,adminitra,0
21460,admira,0
29255,admiraba,0
18772,admirable,0
35365,admirables,0
3048,admiracion,0
18709,admiracionpero,0
26716,admirada,0
7672,admirado,0
22282,admirador,0
43341,admiradora,0
8251,admiradores,0
29362,admirados,0
11092,admiralo,0
8034,admiramos,0
6302,admirando,0
35894,admiranos,0
6361,admirar,0
20687,admire,0
16530,admirelo,0
422,admiro,0
40647,admistiar,0
32932,admitan,0
2016,admite,0
9921,admiten,0
41315,admitiendo,0
13136,admitir,0
31405,admitirlo,0
23405,admito,0
18257,adn,0
3941,adnuribista,0
12030,adoctriando,1
25835,adoctrina,1
8199,adoctrinado,1
31639,adoctrinadores,1
13652,adoctrinados,1
